dur,sbytes,dbytes,rate,sttl,dttl,anomaly
1.047169,534,354,16.234247,254,252,0
16.76671,630,0,0.775346,254,0,0
16.448053,630,0,0.790367,254,0,0
15.40279,630,0,0.844003,254,0,0
15.40279,630,0,0.844003,254,0,0
2.417396,896,1142,8.687033,62,252,0
16.044233,540,0,0.685605,254,0,0
16.352577,540,0,0.672677,254,0,0
16.044233,540,0,0.685605,254,0,0
16.352577,540,0,0.672677,254,0,0
16.352577,540,0,0.672677,254,0,0
16.044233,540,0,0.685605,254,0,0
0.664512,534,268,22.572957,254,252,0
0.860208,534,268,17.437643,254,252,0
15.102544,450,0,0.595926,254,0,0
1.979445,810,1228,9.59865,62,252,0
15.102544,450,0,0.595926,254,0,0
1.763225,2516,354,9.641424,254,252,0
0.651652,534,268,23.018422,254,252,0
15.684376,450,0,0.573819,254,0,0
15.684376,450,0,0.573819,254,0,0
15.008936,360,0,0.466389,254,0,0
15.008936,360,0,0.466389,254,0,0
1.15935,534,354,14.663388,254,252,0
16.131804,360,0,0.433925,254,0,0
16.131804,360,0,0.433925,254,0,0
0.717487,534,268,20.906303,254,252,0
16.488672,270,0,0.303238,254,0,0
0.874834,2516,354,19.432258,254,252,0
16.800188,270,0,0.297616,254,0,0
16.488672,270,0,0.303238,254,0,0
16.800188,270,0,0.297616,254,0,0
1.538604,814,1266,12.348856,62,252,0
16.136995,270,0,0.309847,254,0,0
16.136995,270,0,0.309847,254,0,0
17.272808,180,0,0.173683,254,0,0
17.267853,180,0,0.173733,254,0,0
17.267853,180,0,0.173733,254,0,0
0.869206,534,268,17.257129,254,252,0
19.176811,180,0,0.156439,254,0,0
17.272808,180,0,0.173683,254,0,0
16.687513,180,0,0.179775,254,0,0
19.176811,180,0,0.156439,254,0,0
0.816781,2516,268,18.364776,254,252,0
16.687513,180,0,0.179775,254,0,0
0.724897,534,268,20.692594,254,252,0
1.625287,876,1182,11.690243,62,252,0
1.739142,2516,354,9.774935,254,252,0
0.885835,534,268,16.933176,254,252,0
1.179485,534,354,14.413071,254,252,0
1.318945,2516,354,12.889089,254,252,0
1.048635,824,1206,16.211551,62,252,0
1.49338,822,1378,12.722817,62,252,0
1.49338,822,1378,12.722817,62,252,0
0.657843,534,354,25.842032,254,252,0
1.49338,822,1378,12.722817,62,252,0
1.450415,2516,354,11.720783,254,252,0
1.45018,534,354,11.722682,254,252,0
1.302269,534,354,13.054139,254,252,0
1.20946,816,1294,14.055859,62,252,0
0.638839,2516,268,23.480094,254,252,0
1.368353,810,1138,13.885306,62,252,0
1.368353,810,1138,13.885306,62,252,0
0.963874,2516,354,17.63716,254,252,0
0.866189,534,354,19.626202,254,252,0
0.720965,800,1246,23.579507,62,252,0
0.650809,2516,268,23.048237,254,252,0
1.09756,792,1140,17.311126,62,252,0
0.847027,534,268,17.708999,254,252,0
0.698707,2516,268,21.468227,254,252,0
1.058935,2516,354,16.053865,254,252,0
0.762124,534,354,22.306081,254,252,0
0.696721,2516,354,24.40001,254,252,0
1.552272,822,1120,10.951689,62,252,0
1.080772,534,354,15.729496,254,252,0
0.685279,534,268,21.888895,254,252,0
0.874161,796,1192,21.735126,62,252,0
0.633507,2516,268,23.677717,254,252,0
0.418529,534,268,35.83981,254,252,0
9.734114,540,0,1.130046,254,0,0
9.05373,540,0,1.214969,254,0,0
8.834706,540,0,1.245089,254,0,0
9.05373,540,0,1.214969,254,0,0
8.232217,540,0,1.336214,254,0,0
9.492497,540,0,1.15881,254,0,0
8.232217,540,0,1.336214,254,0,0
9.492497,540,0,1.15881,254,0,0
1.139638,534,354,14.917018,254,252,0
9.734114,540,0,1.130046,254,0,0
8.834706,540,0,1.245089,254,0,0
6e-06,90,0,166666.6608,254,0,0
13.982293,450,0,0.643671,254,0,0
20.535067,450,0,0.438275,254,0,0
18.112692,450,0,0.496889,254,0,0
0.500492,2516,268,29.97051,254,252,0
15.328777,450,0,0.587131,254,0,0
14.958252,450,0,0.601675,254,0,0
13.053721,450,0,0.689459,254,0,0
1.12155,890,1150,18.724088,62,252,0
14.958252,450,0,0.601675,254,0,0
19.106997,450,0,0.471032,254,0,0
24.755817,450,0,0.363551,254,0,0
23.255651,450,0,0.387003,254,0,0
22.761002,450,0,0.395413,254,0,0
23.255651,450,0,0.387003,254,0,0
22.761002,450,0,0.395413,254,0,0
18.44595,450,0,0.487912,254,0,0
24.755817,450,0,0.363551,254,0,0
15.328777,450,0,0.587131,254,0,0
13.053721,450,0,0.689459,254,0,0
20.535067,450,0,0.438275,254,0,0
21.025787,450,0,0.428046,254,0,0
21.987556,450,0,0.409322,254,0,0
18.112692,450,0,0.496889,254,0,0
18.44595,450,0,0.487912,254,0,0
21.987556,450,0,0.409322,254,0,0
21.025787,450,0,0.428046,254,0,0
19.106997,450,0,0.471032,254,0,0
13.982293,450,0,0.643671,254,0,0
23.333012,360,0,0.300004,254,0,0
23.333012,360,0,0.300004,254,0,0
9e-06,104,0,111111.1072,254,0,0
25.801886,360,0,0.271298,254,0,0
23.387411,360,0,0.299306,254,0,0
23.660702,360,0,0.295849,254,0,0
25.758749,360,0,0.271752,254,0,0
23.660702,360,0,0.295849,254,0,0
25.758749,360,0,0.271752,254,0,0
23.387411,360,0,0.299306,254,0,0
1e-06,104,0,1000000.003,254,0,0
1.673592,810,1250,11.352827,62,252,0
0.764506,534,268,19.620514,254,252,0
25.801886,360,0,0.271298,254,0,0
2.185865,2516,354,7.777242,254,252,0
4e-06,90,0,250000.0006,254,0,0
24.682304,270,0,0.202574,254,0,0
25.819431,270,0,0.193653,254,0,0
3e-06,2120,0,333333.3215,254,0,0
4e-06,90,0,250000.0006,254,0,0
25.819431,270,0,0.193653,254,0,0
3e-06,2120,0,333333.3215,254,0,0
24.682304,270,0,0.202574,254,0,0
1.429959,534,268,10.489811,254,252,0
31.542561,180,0,0.09511,254,0,0
29.195513,180,0,0.102756,254,0,0
30.79278,180,0,0.097425,254,0,0
30.79278,180,0,0.097425,254,0,0
27.413933,180,0,0.109433,254,0,0
31.542561,180,0,0.09511,254,0,0
0.524961,534,268,28.573551,254,252,0
3e-06,104,0,333333.3215,254,0,0
29.195513,180,0,0.102756,254,0,0
27.413933,180,0,0.109433,254,0,0
5e-06,90,0,200000.0051,254,0,0
5e-06,90,0,200000.0051,254,0,0
1.129944,534,354,15.044994,254,252,0
1.964566,2516,354,8.653311,254,252,0
2.349783,888,1370,8.936996,62,252,0
7e-06,104,0,142857.1409,254,0,0
0.921987,1280,0,20.607666,254,0,0
0.921987,1280,0,20.607666,254,0,0
0.921987,1280,0,20.607666,254,0,0
0.921987,1280,0,20.607666,254,0,0
9e-06,104,0,111111.1072,254,0,0
9e-06,156,0,111111.1072,254,0,0
9e-06,156,0,111111.1072,254,0,0
9e-06,156,0,111111.1072,254,0,0
9e-06,156,0,111111.1072,254,0,0
1.6e-05,196,0,62500.00016,254,0,0
0.224524,830,960,75.715734,62,252,0
0.409782,852,1336,41.485474,62,252,0
0.258515,1064,268,58.023712,254,252,0
0.674665,564,354,25.197692,254,252,0
5.600391,886,5236,4.106856,62,252,0
0.285988,1196,992,59.443053,62,252,0
3e-06,168,0,333333.3215,254,0,0
0.663844,564,354,25.608426,254,252,0
0.217312,1148,268,69.025183,254,252,0
7.629429,9082,1747118,195.951758,62,252,1
0.502392,938,354,33.838119,254,252,0
0.460161,908,18088,67.367726,62,252,0
9e-06,168,0,111111.1072,254,0,0
1.244202,3024,0,21.700656,254,0,0
1.244202,3024,0,21.700656,254,0,0
1.244202,3024,0,21.700656,254,0,0
1.244202,3024,0,21.700656,254,0,0
1.244202,3024,0,21.700656,254,0,0
0.289402,1134,1074,58.741818,254,252,0
0.667368,564,354,25.473202,254,252,0
0.209133,508,268,71.724692,254,252,0
0.197552,758,268,75.929377,254,252,0
8e-06,168,0,125000.0003,254,0,0
0.483004,566,354,35.196396,254,252,0
0.523646,674,268,28.645306,254,252,0
2.032866,1186,1602,21.152403,62,252,0
0.727527,364,1628,20.617791,62,252,0
9e-06,168,0,111111.1072,254,0,0
0.681871,17266,354,39.596933,254,252,0
0.566928,490,268,26.458385,254,252,0
0.833854,738,354,20.387262,254,252,0
0.766293,1506,268,19.574758,254,252,0
0.583476,1098,268,25.707998,254,252,0
0.625871,3984,268,27.162147,254,252,0
1.173262,2080,1746,23.012763,254,252,0
0.451172,490,268,33.246744,254,252,0
0.877186,564,354,19.380154,254,252,0
0.694908,546,354,24.463669,254,252,0
0.534477,546,354,31.806795,254,252,0
0.322297,546,268,46.540922,254,252,0
0.688948,908,2000,27.57828,62,252,0
0.537852,484,354,31.607209,254,252,0
0.772218,808,1238,24.604451,62,252,0
0.432617,968,354,39.295727,254,252,0
0.249214,848,986,68.214468,62,252,0
0.647249,564,354,26.265008,254,252,0
0.190223,902,268,78.85482,254,252,0
0.894891,3178,1784,43.580725,62,252,0
0.998863,948,9872,43.048947,62,252,0
0.282722,844,1094,60.12974,62,252,0
9.95755,10662,2055289,180.66693,62,252,1
1.232252,950,2266,31.64937,62,252,0
0.305854,1582,268,49.043009,254,252,0
0.845421,9684,406,27.20538,254,252,0
0.379788,1294,268,39.495717,254,252,0
0.588943,2062,268,25.469358,254,252,0
0.596682,3678,268,28.490887,254,252,0
0.725222,550,354,23.441098,254,252,0
1e-05,168,0,100000.0025,254,0,0
0.740256,774,268,20.26326,254,252,0
1.189909,718,354,14.286807,254,252,0
0.810054,1716,354,20.986255,254,252,0
0.860513,3678,268,19.755658,254,252,0
1.1899,1326,3294,17.648541,62,252,0
0.721047,2484,268,20.803083,254,252,0
0.801919,6830,354,26.187184,254,252,0
0.407476,780,268,36.811983,254,252,0
0.456038,550,268,32.891996,254,252,0
0.69726,1294,268,21.512778,254,252,0
1.155184,564,354,14.71627,254,252,0
0.823709,914,29346,47.346817,62,252,0
1.094653,824,2216,17.357098,62,252,0
0.860687,992,716,22.075388,254,252,0
44.22596,18872,1718,1.243613,254,252,1
1.004763,1092,766,18.909932,254,252,0
1.393967,1164,842,15.064919,254,252,0
1.31628,1314,1774,15.954052,62,252,0
1.392847,1084,820,15.077033,254,252,0
2.838932,1222,63172,31.349817,62,252,0
5.293481,286548,3166,51.950693,62,252,1
0.837254,1080,734,22.693233,254,252,0
1.46353,1232,830,14.348869,254,252,0
1.843741,836,5624,11.389886,62,252,0
1.438237,958,2726,13.210619,62,252,0
1.263457,1174,730,15.038106,254,252,0
1.465404,800,1018,12.965707,62,252,0
1.722713,988,808,12.190075,254,252,0
2.337648,1228,796,8.983389,254,252,0
3.429712,30764,1764,17.20261,62,252,0
2.360055,28162,1772,24.999418,62,252,0
0.844596,1014,740,22.495962,254,252,0
1.102556,1110,820,19.046652,254,252,0
1.141352,1018,840,18.399231,254,252,0
1.067207,1110,776,17.803482,254,252,0
2.716886,1042,696,6.9933,254,252,0
1.943965,34710,1022,25.206216,254,252,0
1.834468,818,4788,11.44746,62,252,0
1.468132,830,1856,12.941615,62,252,0
1.616972,1196,820,14.224118,254,252,0
1.916194,3030,844,10.959225,254,252,0
2.119298,698,682,11.796359,254,252,0
2.22194,700,682,11.251429,254,252,0
2.420967,1106,814,8.674219,254,252,0
2.663656,698,682,9.385596,254,252,0
1.905333,936,354,8.922325,254,252,0
2.141633,3026,792,9.805601,254,252,0
28.213135,1280,0,0.673445,254,0,0
28.213135,1280,0,0.673445,254,0,0
28.213135,1280,0,0.673445,254,0,0
28.213135,1280,0,0.673445,254,0,0
28.213135,1280,0,0.673445,254,0,0
28.213135,1280,0,0.673445,254,0,0
0.803314,41302,2104,88.383873,62,252,0
0.678469,564,354,25.056414,254,252,0
1.313131,1186,1668,32.746162,62,252,0
1.5e-05,168,0,66666.66835,254,0,0
0.624286,564,354,27.231109,254,252,0
1.265907,172977,2638,147.720166,62,252,1
3e-06,776,0,333333.3215,254,0,0
3e-06,776,0,333333.3215,254,0,0
3e-06,776,0,333333.3215,254,0,0
3e-06,776,0,333333.3215,254,0,0
3e-06,168,0,333333.3215,254,0,0
0.466699,2858,0,36.426047,254,0,0
0.466699,2858,0,36.426047,254,0,0
0.466699,2858,0,36.426047,254,0,0
7e-06,168,0,142857.1409,254,0,0
0.180252,974,268,83.216829,254,252,0
0.264132,748,4208,71.933732,62,252,0
4e-06,2150,0,250000.0006,254,0,0
1e-05,1970,0,100000.0025,254,0,0
1e-05,1850,0,100000.0025,254,0,0
8e-06,754,0,125000.0003,254,0,0
9e-06,1406,0,111111.1072,254,0,0
0.201833,1308,268,74.318869,254,252,0
6e-06,756,0,166666.6608,254,0,0
1e-05,1768,0,100000.0025,254,0,0
0.611251,1172,48278,116.15523,62,252,0
1.151317,1190,1652,37.348532,62,252,0
0.34468,1284,2074,60.926074,62,252,0
0.185405,512,268,80.903967,254,252,0
0.644655,1104,31168,88.419389,62,252,0
1.225539,3926,3392,43.246279,254,252,0
0.201967,4708,268,84.172166,254,252,0
0.165417,3818,268,102.770573,254,252,0
0.414536,1204,354,41.009707,254,252,0
0.419779,1332,354,40.4975,254,252,0
0.252441,1844,268,59.419827,254,252,0
7.312841,10880,0,5.333085,254,0,0
0.186136,816,6574,112.820729,62,252,0
0.246582,6924,812,93.275259,254,252,0
0.188998,854,268,79.36592,254,252,0
0.198691,918,268,75.494111,254,252,0
4.490101,17078,0,25.611897,254,0,0
43.982441,1568,1528,1.250499,254,252,1
0.568472,2512,1386,58.05035,254,252,0
0.535636,1256,1288,39.205729,254,252,0
0.793553,906,556,31.503882,254,252,0
0.905874,904,642,29.805469,254,252,0
0.628707,964,3708,30.220755,62,252,0
0.954264,782,678,26.198201,254,252,0
1.335126,904,728,21.720796,254,252,0
0.417471,786,826,40.721392,62,252,0
0.328615,888,3780,57.818418,62,252,0
0.720163,790,678,34.714364,254,252,0
0.963038,2798,2050,32.189798,254,252,0
0.376248,1062,268,39.867321,254,252,0
1.30776,23864,1846,42.056646,62,252,0
43.776703,7164417,34668,142.10755,254,252,1
0.338931,796,1024,50.157703,62,252,0
1.194859,934,8624,35.987509,62,252,0
0.796488,564,354,21.343699,254,252,0
0.320574,568,268,46.791071,254,252,0
0.367036,1092,1044,46.316981,254,252,0
7e-06,136,0,142857.1409,254,0,0
0.49391,770,11200,46.567187,62,252,0
0.340732,842,1670,49.892583,254,252,0
3e-06,168,0,333333.3215,254,0,0
0.829626,564,354,20.49116,254,252,0
7e-06,406,0,142857.1409,254,0,0
0.915074,1536,556,27.320195,254,252,0
0.328484,1126,14492,76.107208,62,252,0
0.381521,794,3962,49.800668,62,252,0
0.580452,2326,552,32.73311,254,252,0
1.845588,4963,1834,23.298808,62,252,0
1.634732,1084,31422,34.868101,62,252,0
3e-06,78,0,333333.3215,254,0,0
3e-06,78,0,333333.3215,254,0,0
0.52179,684,268,28.747196,254,252,0
1.300463,992,16286,34.603062,62,252,0
0.884886,564,354,19.211514,254,252,0
0.474962,906,22330,69.479243,62,252,0
0.818168,564,354,20.778129,254,252,0
35.181515,5487011,26990,135.440445,254,252,1
0.37681,562,268,39.807859,254,252,0
2.3e-05,168,0,43478.25991,254,0,0
3e-06,168,0,333333.3215,254,0,0
0.346076,914,268,43.343079,254,252,0
3.315317,214505,2812,67.866815,62,252,1
4e-06,2792,0,250000.0006,254,0,0
1e-06,168,0,1000000.003,254,0,0
8e-06,168,0,125000.0003,254,0,0
0.671246,564,354,25.326036,254,252,0
0.67514,564,354,25.179962,254,252,0
0.277344,800,5972,68.506983,62,252,0
0.012899,96,96,232.576165,254,252,0
0.623815,564,354,27.251669,254,252,0
0.190103,916,4638,99.945822,62,252,0
5e-06,180,0,200000.0051,254,0,0
5e-06,180,0,200000.0051,254,0,0
5e-06,180,0,200000.0051,254,0,0
3e-06,180,0,333333.3215,254,0,0
3e-06,180,0,333333.3215,254,0,0
3e-06,180,0,333333.3215,254,0,0
3e-06,180,0,333333.3215,254,0,0
3e-06,180,0,333333.3215,254,0,0
3e-06,180,0,333333.3215,254,0,0
3e-06,180,0,333333.3215,254,0,0
3e-06,180,0,333333.3215,254,0,0
1.160125,1190,1642,37.064971,62,252,0
1.160125,1190,1642,37.064971,62,252,0
1.007653,360,0,2.977215,254,0,0
1.007653,360,0,2.977215,254,0,0
1.007653,360,0,2.977215,254,0,0
1.007653,360,0,2.977215,254,0,0
0.192322,5098,268,88.393423,254,252,0
0.187225,1988,268,80.117506,254,252,0
0.675253,564,354,25.17575,254,252,0
8e-06,180,0,125000.0003,254,0,0
3e-06,200,0,333333.3215,254,0,0
3e-06,200,0,333333.3215,254,0,0
3e-06,200,0,333333.3215,254,0,0
6e-06,180,0,166666.6608,254,0,0
6e-06,180,0,166666.6608,254,0,0
6e-06,180,0,166666.6608,254,0,0
6e-06,180,0,166666.6608,254,0,0
6e-06,180,0,166666.6608,254,0,0
2e-06,180,0,500000.0013,254,0,0
6e-06,180,0,166666.6608,254,0,0
1.3e-05,168,0,76923.07779,254,0,0
6e-06,180,0,166666.6608,254,0,0
0.707186,1032,9898,55.148152,62,252,0
3e-06,180,0,333333.3215,254,0,0
1.5e-05,168,0,66666.66835,254,0,0
3e-06,180,0,333333.3215,254,0,0
0.781325,1186,40540,83.192015,62,252,0
0.225991,1170,966,75.224236,254,252,0
3e-06,180,0,333333.3215,254,0,0
0.227117,834,5384,83.657321,62,252,0
3e-06,180,0,333333.3215,254,0,0
1e-05,748,0,100000.0025,254,0,0
3e-06,180,0,333333.3215,254,0,0
1.411386,1202,1664,30.466506,62,252,0
0.244608,980,268,61.322606,254,252,0
1.253977,308919,3296,243.226163,62,252,1
2e-05,168,0,50000.00126,254,0,0
0.371083,950,268,40.422225,254,252,0
7e-06,168,0,142857.1409,254,0,0
1.246909,400,0,2.405949,254,0,0
0.489758,1040,0,38.794669,254,0,0
0.489758,1040,0,38.794669,254,0,0
1.246909,400,0,2.405949,254,0,0
57.237827,70700,14657531,221.164929,62,252,1
1.246909,400,0,2.405949,254,0,0
0.231606,926,23166,142.483351,62,252,0
1.246909,400,0,2.405949,254,0,0
1.565097,2976,449181,260.047784,62,252,1
8e-06,168,0,125000.0003,254,0,0
1.246909,400,0,2.405949,254,0,0
1.644148,283242,2998,170.909189,62,252,1
9e-06,200,0,111111.1072,254,0,0
7.312841,10880,0,5.333085,254,0,0
9e-06,200,0,111111.1072,254,0,0
7.312841,10880,0,5.333085,254,0,0
5e-06,200,0,200000.0051,254,0,0
7.312841,10880,0,5.333085,254,0,0
5e-06,200,0,200000.0051,254,0,0
7.312841,10880,0,5.333085,254,0,0
0.27331,898,268,54.882733,254,252,0
8e-06,200,0,125000.0003,254,0,0
0.155371,19834,354,186.650024,254,252,0
8e-06,200,0,125000.0003,254,0,0
0.217978,802,268,68.814284,254,252,0
5e-06,200,0,200000.0051,254,0,0
5e-06,200,0,200000.0051,254,0,0
0.625488,564,354,27.17878,254,252,0
5e-06,200,0,200000.0051,254,0,0
0.2647,2652,9188,79.335098,254,252,0
5e-06,200,0,200000.0051,254,0,0
0.496533,962,1056,38.265331,62,252,0
5e-06,200,0,200000.0051,254,0,0
0.632841,564,354,26.862988,254,252,0
0.181007,2792,268,82.869724,254,252,0
5e-06,200,0,200000.0051,254,0,0
0.626981,564,354,27.114058,254,252,0
5e-06,200,0,200000.0051,254,0,0
1.755642,3010,474465,244.355049,62,252,1
0.633985,1024,3010,55.206355,62,252,0
3e-06,200,0,333333.3215,254,0,0
0.18229,1006,268,82.286465,254,252,0
0.844803,9199,1596,53.266858,62,252,0
3e-06,200,0,333333.3215,254,0,0
0.008271,1386,106,362.713079,254,60,0
3e-06,200,0,333333.3215,254,0,0
1.122435,94429,2308,107.801345,62,252,0
3e-06,200,0,333333.3215,254,0,0
0.230717,802,7782,91.0206,62,252,0
3e-06,200,0,333333.3215,254,0,0
0.638853,564,354,26.61019,254,252,0
3e-06,200,0,333333.3215,254,0,0
0.248781,876,29216,148.725187,62,252,0
3e-06,200,0,333333.3215,254,0,0
1.96472,1206,1638,21.88607,62,252,0
3e-06,200,0,333333.3215,254,0,0
1.914575,3444,3254,26.637766,254,252,0
0.872915,564,354,19.474977,254,252,0
4e-06,200,0,250000.0006,254,0,0
0.618564,4172,268,27.483009,254,252,0
8e-06,200,0,125000.0003,254,0,0
0.97472,41333,2022,74.893303,62,252,0
8e-06,200,0,125000.0003,254,0,0
8e-06,200,0,125000.0003,254,0,0
0.285157,814,2030,59.616283,62,252,0
3e-06,200,0,333333.3215,254,0,0
1e-05,322,0,100000.0025,254,0,0
3e-06,200,0,333333.3215,254,0,0
0.255045,2456,268,58.813151,254,252,0
1.036788,1268,100496,97.416252,62,252,0
3e-06,200,0,333333.3215,254,0,0
0.538437,518,354,31.572867,254,252,0
1e-06,104,0,1000000.003,254,0,0
2e-06,104,0,500000.0013,254,0,0
0.301315,812,2864,56.41936,62,252,0
1.285564,1012,1688,16.335243,62,252,0
0.664642,564,354,25.57768,254,252,0
0.221558,628,268,67.702361,254,252,0
9e-06,200,0,111111.1072,254,0,0
0.241523,818,1796,70.386672,62,252,0
3e-06,200,0,333333.3215,254,0,0
3e-06,200,0,333333.3215,254,0,0
0.616813,9989,1712,72.95566,62,252,0
9e-06,200,0,111111.1072,254,0,0
0.659375,564,354,25.78199,254,252,0
0.474746,364,5150,35.808623,62,252,0
8e-06,104,0,125000.0003,254,0,0
0.379524,1612,268,39.523193,254,252,0
9e-06,200,0,111111.1072,254,0,0
0.345819,1612,268,43.375292,254,252,0
0.282292,1612,268,53.136467,254,252,0
9e-06,200,0,111111.1072,254,0,0
0.515394,1612,354,32.984476,254,252,0
1.760479,510,354,9.656463,254,252,0
8e-06,168,0,125000.0003,254,0,0
3e-06,200,0,333333.3215,254,0,0
0.724875,364,842,20.693224,62,252,0
0.445359,3598,384,42.662213,254,252,0
9e-06,200,0,111111.1072,254,0,0
1.6e-05,168,0,62500.00016,254,0,0
0.591922,1612,354,28.720001,254,252,0
9e-06,200,0,111111.1072,254,0,0
1.090031,1450,86878,99.997153,62,252,0
9e-06,200,0,111111.1072,254,0,0
0.41097,940,354,41.36555,254,252,0
3e-06,200,0,333333.3215,254,0,0
0.721878,5358,1878,56.796301,62,252,0
3e-06,200,0,333333.3215,254,0,0
9e-06,168,0,111111.1072,254,0,0
0.851633,1132,39742,81.020814,62,252,0
8e-06,200,0,125000.0003,254,0,0
8e-06,200,0,125000.0003,254,0,0
8e-06,200,0,125000.0003,254,0,0
0.184412,884,268,81.339608,254,252,0
8e-06,200,0,125000.0003,254,0,0
6e-06,168,0,166666.6608,254,0,0
8e-06,200,0,125000.0003,254,0,0
9e-06,168,0,111111.1072,254,0,0
0.987803,2524,634,17.20991,254,252,0
2e-06,200,0,500000.0013,254,0,0
2e-06,200,0,500000.0013,254,0,0
2e-06,200,0,500000.0013,254,0,0
0.19063,934,268,78.686459,254,252,0
9e-06,200,0,111111.1072,254,0,0
0.240515,800,7212,87.312644,62,252,0
9e-06,200,0,111111.1072,254,0,0
0.263627,916,26010,132.76334,62,252,0
9e-06,200,0,111111.1072,254,0,0
0.287987,2244,2344,65.975202,254,252,0
9e-06,200,0,111111.1072,254,0,0
0.633155,564,354,26.849666,254,252,0
9e-06,200,0,111111.1072,254,0,0
1.276288,155333,2544,133.982295,62,252,1
9e-06,200,0,111111.1072,254,0,0
0.72675,1178,41228,92.19126,62,252,0
9e-06,200,0,111111.1072,254,0,0
8e-06,168,0,125000.0003,254,0,0
9e-06,200,0,111111.1072,254,0,0
0.20765,818,9134,101.131709,62,252,0
9e-06,200,0,111111.1072,254,0,0
0.671838,564,354,25.30372,254,252,0
9e-06,200,0,111111.1072,254,0,0
0.365988,25914,764,117.490195,254,252,0
3e-06,200,0,333333.3215,254,0,0
4e-06,168,0,250000.0006,254,0,0
3e-06,200,0,333333.3215,254,0,0
0.765067,25556,728,58.818379,254,252,0
1.103479,1166,1638,38.967664,62,252,0
3e-06,200,0,333333.3215,254,0,0
1.2007,1382,69734,77.454815,62,252,0
9e-06,200,0,111111.1072,254,0,0
0.668237,27608,642,64.34843,254,252,0
9e-06,200,0,111111.1072,254,0,0
1.002146,28122,936,48.895071,254,252,0
9e-06,200,0,111111.1072,254,0,0
1.021487,564,354,16.642405,254,252,0
9e-06,200,0,111111.1072,254,0,0
9e-06,200,0,111111.1072,254,0,0
2.055093,1166,1612,20.923627,62,252,0
